Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound_Link,Inbound_Link,Round_Trip_Link,Route,Month,AvgPrice,StdDev,z_score
Katowice,Agadir,Morocco,Katowice,27/10/2025,31/10/2025,4,219,225,444,KTW,AGA,KTW,https://www.skyscanner.pl/transport/loty/KTW/AGA/251027/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/AGA/KTW/251031/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/KTW/AGA/251027/251031/?adultsv2=1&cabinclass=economy&childrenv2=&ref=home&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false,Katowice-Agadir,2025-10,5717.057416,989.0580487,-5.331393262
Katowice,Agadir,Morocco,Krakow,27/10/2025,29/10/2025,2,219,228,447,KTW,AGA,KRK,https://www.skyscanner.pl/transport/loty/KTW/AGA/251027/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/AGA/KRK/251029/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Katowice-Agadir,2025-10,5717.057416,989.0580487,-5.328360073
Katowice,Agadir,Morocco,Gdansk,27/10/2025,29/10/2025,2,219,485,704,KTW,AGA,GDN,https://www.skyscanner.pl/transport/loty/KTW/AGA/251027/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/AGA/GDN/251029/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Katowice-Agadir,2025-10,5717.057416,989.0580487,-5.068516881
Gdansk,Chisinau,Moldova,Wroclaw,16/10/2025,19/10/2025,3,661,81,742,GDN,RMO,WRO,https://www.skyscanner.pl/transport/loty/GDN/RMO/251016/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/RMO/WRO/251019/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,,Gdansk-Chisinau,2025-10,847.3129771,21.69476504,-4.854303648
Krakow,Skopje,North Macedonia,Krakow,07/09/2025,09/09/2025,2,474,370,844,KRK,SKP,KRK,https://www.skyscanner.pl/transport/loty/KRK/SKP/250907/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/SKP/KRK/250909/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/KRK/SKP/250907/250909/?adultsv2=1&cabinclass=economy&childrenv2=&ref=home&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false,Krakow-Skopje,2025-09,986.4351145,29.56675653,-4.817407495
Krakow,Skopje,North Macedonia,Krakow,04/09/2025,09/09/2025,5,474,370,844,KRK,SKP,KRK,https://www.skyscanner.pl/transport/loty/KRK/SKP/250904/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/SKP/KRK/250909/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/KRK/SKP/250904/250909/?adultsv2=1&cabinclass=economy&childrenv2=&ref=home&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false,Krakow-Skopje,2025-09,986.4351145,29.56675653,-4.817407495
Krakow,Skopje,North Macedonia,Krakow,05/09/2025,09/09/2025,4,474,370,844,KRK,SKP,KRK,https://www.skyscanner.pl/transport/loty/KRK/SKP/250905/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/SKP/KRK/250909/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/KRK/SKP/250905/250909/?adultsv2=1&cabinclass=economy&childrenv2=&ref=home&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false,Krakow-Skopje,2025-09,986.4351145,29.56675653,-4.817407495
Krakow,Skopje,North Macedonia,Krakow,06/09/2025,09/09/2025,3,474,370,844,KRK,SKP,KRK,https://www.skyscanner.pl/transport/loty/KRK/SKP/250906/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/SKP/KRK/250909/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/KRK/SKP/250906/250909/?adultsv2=1&cabinclass=economy&childrenv2=&ref=home&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false,Krakow-Skopje,2025-09,986.4351145,29.56675653,-4.817407495
Krakow,Skopje,North Macedonia,Krakow,03/09/2025,09/09/2025,6,474,370,844,KRK,SKP,KRK,https://www.skyscanner.pl/transport/loty/KRK/SKP/250903/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/SKP/KRK/250909/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/KRK/SKP/250903/250909/?adultsv2=1&cabinclass=economy&childrenv2=&ref=home&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false,Krakow-Skopje,2025-09,986.4351145,29.56675653,-4.817407495
Krakow,Skopje,North Macedonia,Krakow,02/09/2025,09/09/2025,7,474,370,844,KRK,SKP,KRK,https://www.skyscanner.pl/transport/loty/KRK/SKP/250902/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/SKP/KRK/250909/?adultsv2=1&cabinclass=economy&childrenv2=&inboundaltsenabled=false&outboundaltsenabled=false&preferdirects=false&ref=home&rtn=0,https://www.skyscanner.pl/transport/loty/KRK/SKP/250902/250909/?adultsv2=1&cabinclass=economy&childrenv2=&ref=home&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false,Krakow-Skopje,2025-09,986.4351145,29.56675653,-4.817407495
